,x_hat_e,x_hat_n,gt_e,gt_n,pe,ul
101,50.364796,-104.73667,53.66298534711017,-100.19023747990366,5.616771036146738,47.106144
102,57.757854,-111.60112,60.271815490178355,-107.6715516215591,4.6649231135493645,51.91346
103,64.50583,-117.86844,66.4109431387231,-114.57150958950618,3.8077817848391646,56.325554
104,70.513275,-123.452095,72.00422861352845,-120.81198251580527,3.0320185252859027,60.429058
105,71.214096,-132.83714,76.63663270218501,-126.06384633790637,8.676488371066977,22.24742
106,68.655716,-143.22485,79.73340175484151,-130.7968031536568,16.64847016272565,19.377764
107,71.89908,-146.69487,80.95306224492442,-135.57652433082922,14.338487867747567,28.142784
108,74.01752,-148.75943,80.3611580395525,-140.16277729296695,10.683829701414979,35.50877
109,75.079575,-149.83775,78.06731241210612,-144.28795169952141,6.3029259144387195,41.65306
110,75.06258,-149.92671,74.31110055535592,-147.79824860128952,2.2572267008772955,47.020058
111,-81.13509,-330.70477,-90.78003121842252,-290.0017162930486,41.830176202145466,127.72119
112,-81.430695,-331.32025,-90.92687051289822,-290.1278294416567,42.27283985591007,129.6976
113,-81.86286,-332.0867,-91.53913063578011,-290.6845736102218,42.51783493773055,131.65785
114,-83.08415,-333.71567,-93.10999745306405,-292.11765159140407,42.78916356768477,133.5937
115,-85.077095,-336.18747,-95.51696237260757,-294.32894130573914,43.14078361844036,135.50589
116,-87.76358,-339.41672,-98.71222430152247,-297.27137982192266,43.54425674475493,137.3956
117,-91.13704,-343.39606,-102.6001813103292,-300.86160984493506,44.05204686672655,139.2637
118,-95.05177,-347.96606,-107.04859308020589,-305.0350363548441,44.57574299887473,141.11101
119,-99.52122,-353.1413,-111.98819187212331,-309.84671862691675,45.053811350758956,142.93839
120,-104.51895,-358.89313,-117.30362538370582,-315.3726304062766,45.359470352340594,144.74673
121,-109.92865,-365.09317,-122.83746673520258,-321.6641443688549,45.30692920199679,146.53622
122,-115.74486,-371.73627,-128.66299090779236,-328.41366433947206,45.20758865904007,148.30804
123,-286.2569,-311.1945,-289.6729089494854,-450.4290904579018,139.2765002185605,191.55074
124,-286.88162,-311.5219,-289.6729091824385,-450.42939840894377,138.93552881857153,193.99017
125,-287.20435,-311.8816,-289.6668975752398,-450.4235534271065,138.5638455517001,196.43044
126,-287.4272,-312.24197,-289.6565918628304,-450.4109407863125,138.18695188583624,198.84727
127,-287.67413,-312.6022,-289.6528703421014,-450.4075567383412,137.81955890761273,201.24063
128,-288.16586,-312.96112,-289.65258409910797,-450.4072491481859,137.4541690560796,203.61049
129,-290.88614,-454.57635,-289.6522978149033,-450.4072490826633,4.3478509461468455,21.646152
130,-291.51,-456.0044,-289.6522978095694,-450.40694148681956,5.897675329846115,9.900481
131,-291.50092,-456.36044,-289.65201157101694,-450.4069414921859,6.233989686818666,9.796245
132,-291.5157,-456.38644,-289.65201156530156,-450.40663389688143,6.263498423150024,9.794087
133,-291.64966,-456.42612,-289.6517252770808,-450.40632623533406,6.34268209398827,9.793839
134,-291.74872,-456.4405,-289.65143903247485,-450.40601864510944,6.388539224275763,9.793648
135,-291.66357,-456.4793,-289.65115274297966,-450.40571098377916,6.398314938734502,9.793437
136,-291.58295,-456.5701,-289.65086649866845,-450.405403393805,6.4603718626092315,9.793267
137,-291.53882,-456.62393,-289.65058021049106,-450.4050957327245,6.499181978744296,9.793053
138,-291.4978,-456.72345,-289.65000767668465,-450.40448048185084,6.583594659758603,9.792859
139,-291.5698,-456.73383,-289.64943514462084,-450.40386523072374,6.614845147138148,9.792687
140,-291.4989,-456.86414,-289.6488626059487,-450.40294238396996,6.720837970845637,9.792519
141,-291.44916,-456.92703,-289.6482900677014,-450.40201953800545,6.7689672812324915,9.792334
142,-291.49298,-456.88495,-289.64714504710196,-450.40078910614034,6.741768035178553,9.792184
143,-291.47986,-456.8433,-289.6460000203189,-450.39925107900706,6.699903207378711,9.792012
144,-291.48535,-456.8237,-289.6445687493114,-450.3974054624024,6.684739502906567,9.791831
145,-291.47598,-456.85184,-289.6428512311643,-450.39494465950946,6.712066119841685,9.791716
146,-291.41006,-456.87985,-289.64056117797975,-450.3918686064269,6.724959111172499,9.791518
147,-291.3327,-456.93344,-289.63769866765256,-450.3872546578645,6.76207040805609,9.791365
148,-291.30725,-456.90286,-289.633690828002,-450.3820249704617,6.732170994135949,9.79123
149,-291.27567,-456.86948,-289.6319722535669,-450.38140803673167,6.693037935253179,9.791093
150,-291.36218,-456.8072,-289.7332991992974,-450.37617511100916,6.634094733862689,9.790972
151,-285.39697,-447.3583,-290.24566352942924,-450.3543241572747,5.699642329201385,8.75841
152,-292.39786,-455.81323,-291.5594946773975,-450.30231518523533,5.574321599062703,9.782921
153,-295.9469,-457.99918,-293.8101817543774,-450.22260385711024,8.064777557111114,9.765891
154,-293.4957,-449.52008,-297.0818780572381,-450.0552078349453,3.6258868728538287,8.737827
155,-304.1436,-451.55728,-301.3883225527411,-449.7598318469434,3.2897260550952536,4.1507664
156,-308.71713,-447.7265,-306.5520464616465,-449.3057183529353,2.679836530297059,4.13408
157,-311.91495,-451.79144,-312.3248840618983,-448.77776951908913,3.0414264826487494,7.896759
158,-319.84497,-450.08606,-318.5983507694188,-448.2128968496013,2.2500666295414145,8.684557
159,-324.50543,-451.22894,-325.21043554487306,-447.6655456103581,3.632468837353357,4.4906507
160,-330.61905,-449.0497,-331.71604153858163,-447.1858659564027,2.162710978250547,4.49008
161,-337.03583,-449.17343,-338.0310140241198,-446.7883152099191,2.5844100234065017,4.4895906
162,-344.90305,-449.91168,-344.1101245148654,-446.26465461864893,3.732229038246582,4.3361206
163,-351.2967,-449.7519,-350.08875983241757,-445.43955237189056,4.478322644664948,4.3354864
164,-357.61017,-448.86478,-356.0756842426166,-444.0798480521868,5.024956031685675,4.3352675
165,-359.29276,-441.31393,-361.44773683615153,-441.2150951250965,2.1572471705043244,5.649072
166,-360.16132,-441.92215,-365.6942578349886,-436.7548630367195,7.57062066713682,24.740175
167,-360.98422,-436.3707,-368.3043202132051,-430.890493127641,9.144203985897427,28.036474
168,-391.99896,-426.07138,-369.1185051396045,-424.14705768781477,22.961235665378066,12.657661
